w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Lmr1_uH
5.6,5.8,9.4,4.4,12.8,10,0,0.5,14,22,0.175,0.08,2,33,0.175,0.1,0.1,0.26,1,1,4.5,2.2,8,1,0.1,3.7,4.4,0.1,0.25,1.7,2.23864414146634
4.4,11.8,9.4,5.6,5.6,34,0,0.51,14,28,0.07,0.01,2,24,0.14,0.05,0.1,0.43,0.5,0.5,3.6,4.2,4,8,1,2,2.3,3.4,0.34,1,2.24262633126476
6.8,3.4,10.6,4.4,10.4,29.2,0,0.5,14,24,0.07,0.03,2,16,0.14,0.01,0.1,0.5,0.6,0.4,3.4,2.4,9,30,4.7,4.8,4.5,1.9,0.37,1.2,2.2835808184427
6.8,1,5.8,22.4,6.8,17.2,0,0.51,14,20,0.105,0.08,2,30,0.14,0.01,0.1,0.44,0.6,2.4,4.8,2.6,13,26,2.4,0.3,4.7,4.9,0.23,1.5,2.28424843721836
6.8,1,4.6,16.4,10.4,28,0,0.51,14,9,0.105,0.01,2,33,0.105,0.04,0.1,0.3,1.4,0.8,5,1.9,2,18,3.2,3.8,0.4,2.9,0.21,1.6,2.28753337235108
3.2,4.6,5.8,14,3.2,18.4,0,0.51,14,22,0.14,0.07,2,8,0.105,0.09,0.1,0.05,0.4,1.1,1.7,1.3,7,1,1.8,0.7,2.7,1.5,0.26,1,2.29819289261187
8,1,10.6,9.2,11.6,29.2,0,0.5,14,22,0.07,0.06,2,29,0.105,0.04,0.1,0.28,1.5,1.1,3.5,1.8,24,28,4.2,0.1,1.1,1.4,0.2,1.2,2.29978312561468
8,4.6,1,4.4,15.2,37.6,0,0.5,14,16,0.14,0.05,2,26,0.14,0.02,0.1,0.4,1.9,1.7,3.2,4.9,4,4,2.8,4.5,4.6,3,0.2,1.9,2.32864938132197
8,1,2.2,15.2,12.8,12.4,0,0.51,14,33,0.14,0.05,2,34,0.14,0.01,0.1,0.48,1.5,4.1,4.3,4.8,12,27,1.4,0.4,1,2.3,0.31,3.4,2.34930956023035
5.6,8.2,8.2,5.6,10.4,53.2,0,0.5,14,23,0.035,0.02,2,34,0.105,0.07,0.1,0.3,1.1,2.9,2.9,3,10,13,2.2,0.5,1.3,4.9,0.28,1.2,2.36340958290402
9.2,1,1,10.4,9.2,7.6,0,0.5,14,32,0.07,0.04,2,32,0.105,0.03,0.1,0.12,0.9,1.7,4.3,2,9,14,1.2,0.3,2.4,3.2,0.31,1,2.39062100743507
22.4,10.6,8.2,17.6,21.2,24.4,0,0.5,14,30,0.035,0.03,2,15,0.105,0.03,0.1,0.47,2,2.2,3.9,4.6,25,5,2,2,1.5,0.8,0.41,3.6,2.39062100743507
6.8,2.2,4.6,6.8,23.6,22,0,0.51,14,24,0.175,0.05,2,24,0.14,0.05,0.1,0.37,2.2,0.3,5,3.4,26,11,1.8,2,3.8,1.8,0.26,3.1,2.40231814381487
6.8,1,5.8,20,10.4,36.4,0,0.51,14,35,0.07,0.05,2,8,0.14,0.07,0.1,0.23,0.8,2.6,3.9,4.7,8,11,3.9,2.9,3,1.8,0.66,2.8,2.40956767787865
4.4,2.2,13,16.4,4.4,7.6,0,0.51,14,34,0.175,0.01,2,35,0.14,0.1,0.1,0.31,0.4,1.5,1.7,4,15,17,4.4,3.4,4.5,1.3,0.17,1.2,2.41103471321129
8,2.2,9.4,4.4,17.6,19.6,0,0.51,14,30,0.105,0.1,2,10,0.07,0.05,0.1,0.5,1,2.4,3.4,2.8,9,12,1.5,3.5,4.4,3,0.63,2.3,2.41171806142696
5.6,13,7,4.4,5.6,18.4,0,0.51,14,19,0.14,0.04,2,12,0.14,0.09,0.1,0.17,0.3,1.1,2.1,2.2,16,9,4.3,1.7,3.2,1.8,0.14,1.7,2.41309216952215
8,3.4,10.6,4.4,14,48.4,0,0.5,14,35,0.07,0.02,2,10,0.105,0.05,0.1,0.4,1.1,1.7,3.1,2.8,5,6,1.6,1.8,4,4.2,0.48,2.1,2.44289280323123
5.6,3.4,8.2,6.8,11.6,5.2,0,0.51,14,34,0.14,0.08,2,24,0.035,0.03,0.1,0.08,0.9,3.9,3.5,2.9,2,16,4.5,2.7,2.8,1.5,0.68,1.5,2.4435601738368
5.6,7,2.2,5.6,11.6,13.6,0,0.51,14,21,0.07,0.01,2,20,0.175,0.02,0.1,0.48,1.1,2.7,2.8,3,27,17,4,0.7,0.8,0.4,0.54,1.2,2.47014232560027
8,1,5.8,10.4,14,12.4,0,0.5,14,11,0.175,0.08,2,21,0.14,0.08,0.1,0.17,1.4,0.6,4.9,4.5,0,18,3.9,0.6,4.9,0.6,0.18,1.7,2.48832727120628
5.6,2.2,1,15.2,4.4,31.6,0,0.5,14,19,0.175,0.06,2,23,0.07,0.04,0.1,0.07,0.4,0.8,2.6,4,0,17,3.4,1.2,3.6,0.7,0.2,1.3,2.50449680408983
4.4,2.2,10.6,20,6.8,24.4,0,0.51,14,10,0.175,0.07,2,12,0.175,0.06,0.1,0.45,0.8,0.5,4.1,2,4,20,0.7,1.5,2.8,0.3,0.1,1.9,2.55567622127028
14,1,7,3.2,16.4,6.4,0,0.5,14,30,0.175,0.01,2,8,0.105,0.04,0.1,0.1,2.1,2.1,3.6,2.8,29,9,4.9,0.6,2.8,0.9,0.9,2.7,2.55767429325622
14,1,8.2,3.2,15.2,38.8,0,0.51,14,25,0.07,0.07,2,16,0.105,0.02,0.1,0.39,1.6,1.2,4.9,4.1,15,23,0.9,3.9,2.8,3.3,1,3.5,2.57443876905661
4.4,3.4,2.2,15.2,9.2,19.6,0,0.5,14,29,0.175,0.1,2,33,0.105,0.02,0.1,0.41,0.5,2,4.6,4.2,28,9,5,1.1,4.5,1.2,0.35,2.6,2.59564247343578
6.8,8.2,11.8,4.4,14,41.2,0,0.5,14,32,0.105,0.09,2,31,0.105,0.09,0.1,0.29,1.4,0.9,4.6,4.8,22,26,2.3,0.2,0.1,1,0.66,1.4,2.60255774118126
5.6,10.6,7,5.6,10.4,53.2,0,0.5,14,31,0.035,0.01,2,8,0.14,0.02,0.1,0.46,0.6,1.3,5,4.6,22,29,0.5,0.4,1,1.7,0.35,1,2.60419377061297
10.4,1,2.2,8,9.2,43.6,0,0.5,14,21,0.175,0.06,2,16,0.175,0.04,0.1,0.14,1.1,0.7,3.4,1.7,19,7,2.4,0.9,1.6,1.9,0.58,1,2.61147420700876
9.2,4.6,9.4,3.2,5.6,17.2,0,0.5,14,14,0.175,0.04,2,8,0.035,0.03,0.1,0.03,0.5,0.7,4.1,4.3,4,24,3.8,5,1.2,0.6,0.28,1.1,2.61295236933084
15.2,2.2,11.8,2,9.2,18.4,0,0.5,14,29,0.175,0.02,2,25,0.175,0.06,0.1,0.39,1.1,0.8,2.3,3.7,24,19,4.8,3.3,4.8,1.8,0.46,1.6,2.62067318082719
6.8,2.2,8.2,8,15.2,16,0,0.51,14,23,0.07,0.03,2,21,0.175,0.07,0.1,0.48,1,2.3,4.6,3,7,1,1.4,1.2,0.7,4.8,0.1,2.7,2.62689797142637
11.6,2.2,13,3.2,14,48.4,0,0.51,14,31,0.14,0.1,2,19,0.14,0.1,0.1,0.35,0.6,2.1,3.3,3.7,17,11,0.2,4.1,2.9,1.5,0.52,2.3,2.62744334043507
6.8,2.2,9.4,9.2,12.8,52,0,0.51,14,29,0.035,0.01,2,30,0.175,0.06,0.1,0.43,1.5,2.4,4.4,4.9,21,6,1.3,0.1,0.3,2.7,0.78,3.6,2.66111011631511
8,1,9.4,15.2,11.6,28,0,0.5,14,35,0.14,0.02,2,28,0.14,0.09,0.1,0.33,1,2.8,2.1,2.7,4,4,3,4.8,3.9,1.5,0.31,1.4,2.6678121908453
6.8,3.4,4.6,6.8,9.2,43.6,0,0.5,14,15,0.14,0.08,2,30,0.175,0.09,0.1,0.41,1.2,1.7,4.4,3.1,3,17,0.3,3.2,0.1,0.9,0.23,1.3,2.6732438507916
9.2,1,11.8,10.4,8,10,0,0.51,14,25,0.105,0.03,2,12,0.105,0.03,0.1,0.36,0.5,2.2,4.2,4.2,8,3,3.7,4.9,0.2,4.8,0.44,1.6,2.68684512873581
5.6,9.4,9.4,5.6,4.4,36.4,0,0.51,14,26,0.14,0.08,2,22,0.07,0.02,0.1,0.28,0.5,1.8,1.7,4,24,29,1.2,0.8,0.1,0.5,0.15,1.3,2.69663480397437
8,1,5.8,22.4,6.8,20.8,0,0.51,14,34,0.14,0.01,2,25,0.175,0.05,0.1,0.46,0.8,1,3.8,3.1,3,29,2.3,4.1,4.9,1.5,0.18,2.6,2.70110520171424
5.6,13,11.8,5.6,4.4,43.6,0,0.5,14,33,0.105,0.1,2,13,0.07,0.03,0.1,0.45,0.2,0.3,2.6,4.6,27,27,4.6,1.5,1.7,3,0.1,1.3,2.70461975755332
