N1,N2,N1_layer,N2_layer,per,w1,l1,l2,l2_gap,h1,h1_gap,h2_gap,N1_height_ratio,N1_fill_factor,N1_coil_diameter,N1_coil_zgap,N2_height_ratio,N2_fill_factor,N2_coil_diameter,N2_coil_zgap,N1_space_w,N1_space_l,N2_space_w,N2_space_l,N1_layer_gap,N2_layer_gap,N1_offset_ratio,N2_offset_ratio,N1_offset,N2_offset,cold_plate_x,cold_plate_y,cold_plate_z1,cold_plate_z2,mold_thick,thermal_conductivity,Temp_max_leg_right
5,5,2,2,12717,180.8,20.2,113.41697,17.4,85.9,7.786835,5.050920000000003,0.51,0.9,9.857025000000002,1.460299999999999,0.88,0.77,14.55146,5.795386666666666,3.0,3.0,10.2,10.5,3.3,4.2,-0.63,0.02,-13.258665,0.10308,12.3,22.9,36.2,0.45,26.2,1.83,116.588525390625
5,5,2,1,9887,201.1,19.7,140.59447666666665,34.8,76.6,7.836180000000001,3.2861399999999987,0.69,0.89,11.760015,1.9379799999999985,0.74,0.77,7.274446666666666,2.607464,18.3,29.6,22.4,16.4,2.3,3.9,0.34,-0.67,4.0368200000000005,-6.67186,5.5,18.5,14.1,0.22,26.7,1.79,101.18203125
5,5,2,1,667,138.2,31.5,147.01950333333332,22.7,91.3,5.17671,6.199269999999999,0.73,0.86,14.329535,3.110286666666667,0.86,0.7,9.160433333333332,4.711080000000001,5.6,29.6,6.6,26.0,9.3,7.6,0.58,0.03,7.148789999999998,0.1917299999999999,11.5,10.0,14.7,0.3,21.6,1.51,115.164483642578
5,5,2,1,20625,218.3,18.0,121.91754666666668,47.3,95.2,19.8968,22.61952,0.45,0.6,6.426,5.712000000000001,0.52,0.82,6.765546666666666,1.782144000000001,23.2,18.3,22.1,20.0,5.3,4.7,-0.24,0.01,-6.2832,0.22848,14.8,29.7,11.7,0.45,11.4,0.98,113.340692138672
5,5,1,1,7983,208.0,16.3,123.208485,46.7,54.9,7.414245000000001,0.8509500000000014,0.63,0.68,3.91986,2.2135679999999995,0.95,0.85,7.388624999999998,1.5646500000000003,23.8,23.8,15.4,23.9,2.6,6.1,0.27,0.38,2.742255000000001,0.5215500000000008,6.3,18.8,15.4,0.2,17.5,0.52,99.4399353027344
5,5,2,2,14553,191.9,22.6,166.61136499999998,47.8,71.9,1.38048,0.988625,0.88,0.95,15.0271,1.0545333333333342,0.89,0.63,10.0785825,7.892223333333334,16.4,26.8,21.8,6.9,4.0,9.8,0.68,-0.75,2.93352,-2.965875,8.1,4.9,47.4,0.49,21.1,1.32,93.5593505859375
5,5,2,1,21670,140.7,37.9,171.22048,40.0,131.2,20.21136,5.084,0.61,0.78,15.60624,5.869013333333332,0.75,0.72,11.807999999999998,5.5104000000000015,7.2,27.9,24.8,29.7,2.2,3.9,0.21,0.69,5.372639999999999,11.316,29.6,19.7,20.0,0.34,28.4,0.56,113.122338867188
5,5,2,2,27744,191.8,21.4,155.18894999999998,16.5,69.3,18.96048,8.489250000000002,0.43,0.6,4.46985,3.9732,0.75,0.86,11.174625,2.4254999999999995,7.2,23.7,18.2,30.0,4.9,10.0,-0.04,-0.02,-0.79002,-0.17325,10.3,28.3,21.4,0.43,38.8,1.19,96.6599670410156
6,6,2,1,13460,172.0,15.4,136.01581,35.0,50.9,1.74078,11.66119,0.81,0.62,6.390495,5.22234,0.42,0.83,2.53482,0.6057100000000002,20.0,17.9,6.3,27.8,8.0,1.1,0.64,0.21,3.09472,3.09981,15.7,28.3,19.5,0.22,32.0,0.66,98.4897399902344
5,5,2,1,2533,143.7,25.5,113.036765,16.0,73.3,0.8796,12.54163,0.88,0.79,12.73954,4.51528,0.41,0.87,4.357685,0.781378,6.3,27.0,24.9,18.9,6.9,7.2,-0.8,-0.42,-3.5184,-9.08187,0.7,13.6,18.1,0.36,14.4,1.24,115.0520264
5,5,2,2,7914,151.0,25.1,119.7256,11.1,76.0,5.270599999999999,4.388999999999999,0.81,0.72,11.0808,5.7456000000000005,0.45,0.84,7.182,1.8240000000000005,14.6,3.4,20.0,15.5,9.9,8.1,-0.27,-0.79,-1.9494,-16.511,25.6,23.0,38.0,0.12,35.2,0.86,111.8275390625
6,6,1,2,28635,213.5,16.1,154.75513142857142,49.3,113.6,23.572,5.827679999999999,0.5,0.95,7.708571428571427,0.4733333333333339,0.62,0.91,16.02328,2.112960000000001,3.8,25.8,15.4,5.5,5.4,4.1,-0.17,-0.73,-4.828,-15.756319999999995,28.7,3.7,19.8,0.16,30.3,0.49,114.547265625
7,7,2,2,8386,143.3,17.3,163.42531200000002,38.9,74.4,10.490400000000005,16.9632,0.7,0.62,6.45792,4.9476,0.43,0.79,5.054736,1.6795799999999996,17.2,20.3,20.5,26.0,8.1,7.2,0.06,0.2,0.6696000000000002,4.2408,18.2,17.3,36.5,0.28,39.9,0.37,111.331323242188
5,5,1,1,12602,171.9,21.6,132.77863333333335,49.6,57.2,1.195479999999999,2.7055600000000006,0.81,0.87,6.718140000000001,1.2046320000000008,0.89,0.62,5.260493333333334,3.869008,5.6,29.0,3.6,17.9,6.8,7.4,0.78,-0.14,4.238519999999999,-0.4404400000000001,4.9,15.3,42.1,0.44,24.3,0.58,97.0388427734375
5,5,2,2,6665,127.1,40.0,165.186,44.5,109.7,15.972320000000002,7.898400000000002,0.44,0.65,7.84355,5.631266666666666,0.6,0.79,12.99945,4.607399999999998,20.6,11.9,20.3,21.6,8.4,1.5,0.48,0.64,14.74368,14.041600000000004,24.1,16.0,26.9,0.32,35.6,0.64,109.593499755859
5,5,1,1,13653,131.4,26.4,113.62258,27.6,56.1,3.366,1.6269,0.76,0.73,5.18738,2.302344,0.8,0.74,5.5352,2.3337600000000007,29.5,25.0,7.9,18.1,4.8,2.6,-0.5,0.71,-3.366,3.9831,11.0,21.1,26.8,0.24,32.2,0.41,114.534967041016
5,5,2,1,23720,121.3,29.8,116.663825,35.7,59.9,5.9840100000000005,3.8126349999999976,0.73,0.81,8.8547175,2.769376666666666,0.81,0.86,6.954390000000001,1.3585319999999996,26.8,9.4,20.7,13.8,9.6,4.7,0.26,-0.33,2.1024900000000004,-1.877864999999999,12.6,19.7,48.6,0.49,23.5,0.4,110.027276611328
5,5,2,2,9576,148.1,22.8,103.0492,9.4,62.4,12.5424,9.9684,0.4,0.81,5.0544,1.5808,0.55,0.69,5.9202,3.5464000000000007,23.2,16.7,8.2,11.0,8.7,5.6,0.33,0.29,6.1776,4.071599999999999,1.0,16.0,34.8,0.22,29.7,1.04,114.094598388672
