w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_center
5.6,8.2,4.6,17.6,9.2,8.8,0.0,0.51,14.0,24.0,0.105,0.04,2.0,31.0,0.175,0.09,0.1,0.2,1.2,0.8,1.7,3.1,24.0,27.0,4.9,2.8,3.2,3.8,0.28,1.5,0.207118182985687
24.8,2.2,1.0,22.4,9.2,40.0,0.0,0.51,14.0,28.0,0.14,0.01,2.0,26.0,0.105,0.01,0.1,0.15,1.0,3.6,4.5,3.5,1.0,6.0,4.3,1.4,2.1,0.6,0.6,3.3,0.0384726257750809
11.6,9.4,2.2,16.4,18.8,28.0,0.0,0.5,14.0,18.0,0.105,0.03,2.0,19.0,0.14,0.08,0.1,0.31,1.5,2.4,3.7,4.9,15.0,22.0,4.7,0.7,3.4,1.3,0.54,2.4,0.106719143546635
27.2,4.6,1.0,12.8,3.2,24.4,0.0,0.51,14.0,3.0,0.14,0.02,2.0,5.0,0.07,0.04,0.1,0.26,0.4,0.3,1.4,2.8,27.0,30.0,2.4,3.4,3.8,4.2,0.28,1.1,0.0590605056992492
8.0,10.6,3.4,11.6,15.2,10.0,0.0,0.5,14.0,31.0,0.14,0.01,2.0,18.0,0.175,0.04,0.1,0.32,1.8,1.2,4.6,3.0,9.0,18.0,0.1,1.3,3.0,3.2,0.88,1.1,0.218839236190855
11.6,9.4,2.2,17.6,20.0,41.2,0.0,0.5,14.0,16.0,0.035,0.02,2.0,34.0,0.07,0.06,0.1,0.16,0.9,1.5,4.4,2.9,23.0,19.0,4.0,0.1,5.0,0.3,0.16,2.4,0.101859148754566
11.6,3.4,2.2,17.6,18.8,24.4,0.0,0.51,14.0,18.0,0.07,0.05,2.0,35.0,0.175,0.01,0.1,0.46,0.9,1.1,4.9,4.7,11.0,7.0,0.9,2.2,2.1,2.9,0.72,3.9,0.100347670941791
8.0,10.6,3.4,21.2,12.8,18.4,0.0,0.51,14.0,21.0,0.175,0.01,2.0,6.0,0.14,0.06,0.1,0.34,1.0,2.7,3.6,2.5,4.0,14.0,1.7,3.5,4.0,2.2,0.87,1.7,0.118975762990268
27.2,1.0,1.0,12.8,5.6,47.2,0.0,0.5,14.0,33.0,0.175,0.09,2.0,28.0,0.105,0.09,0.1,0.13,0.5,1.5,3.5,2.1,10.0,20.0,5.0,1.7,3.5,2.0,0.28,1.0,0.0627240714207706
28.4,11.8,1.0,14.0,4.4,44.8,0.0,0.51,14.0,33.0,0.14,0.07,2.0,12.0,0.07,0.02,0.1,0.21,0.5,3.4,2.3,2.2,2.0,16.0,3.2,2.0,1.3,0.8,0.11,1.6,0.0516225936474993
